,t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
1135,0.85,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.8052364697400725,0.9219892770485868,0.9364460926895476,-0.3557070968566653,-0.9357059576527516,-0.5266467533513961,0.1517803930110013,0.0964745842599496,2.2119365552471064e-15,17.487037648106664,19
1136,0.875,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.786566267599975,0.9278420171537624,0.9349394103066492,-0.3044539370538365,-0.9350934642841544,-0.5083315474239841,0.1483486551731453,0.094896011459329,2.2119365552471064e-15,17.487037648106664,19
1137,0.9,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.7743468416671933,0.9283253144118072,0.930455302479768,-0.3416745403841356,-0.9071892093878056,-0.5085048535338182,0.1465725158474345,0.094420682075703,2.2119365552471064e-15,17.487037648106664,19
1138,0.95,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.7928661703188888,0.92241969378374,0.9289113358419075,-0.5602013843077241,-0.9459591480629416,-0.5151040613909068,0.1408799356397201,0.0964466419429849,2.2119365552471064e-15,17.487037648106664,19
1139,1.0,8,144,1,1,1029,broad_xyz,21.99112410904393,False,0.8268117113652131,0.8967082864030572,0.9150181969976028,-0.8336542960612163,-0.9575638526713396,-0.5287277822065598,0.1465762004366614,0.1003108026451145,2.2119365552471064e-15,17.487037648106664,19
1140,0.05,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.2187694119937665,0.6205137744555661,-0.2123056428152157,-0.6079596968640172,-0.5584473181256355,0.1949632091243609,0.0018486969710668,0.0004613992609064,2.2119365552471064e-15,17.487037648106664,20
1141,0.075,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.3111180684540237,0.6591494789054033,-0.1449554315878158,-0.6174752728763544,-0.7180971050042129,0.256540195121936,0.0048592119640023,0.001336915187161,2.2119365552471064e-15,17.487037648106664,20
1142,0.1,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.4621511933301678,0.7275771220270952,-0.0279324862380694,-0.6007273684499099,-0.8137249379790531,0.2934639843676869,0.010154802103652,0.0032255147474947,2.2119365552471064e-15,17.487037648106664,20
1143,0.125,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.6173376637370193,0.797083372781775,0.109295451489935,-0.5653417679978319,-0.8515875407994459,0.3024720806237223,0.0184119380033913,0.0068752486155467,2.2119365552471064e-15,17.487037648106664,20
1144,0.15,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7128180036283089,0.8437408576485741,0.2106881479041047,-0.550171326423875,-0.8500408327862281,0.2959123341004658,0.0297349878951821,0.0131204815955719,2.2119365552471064e-15,17.487037648106664,20
