lambda_h_over_Jbar,h,Jbar_RMS,R_internal_norm,J_CD,include_D_transverse,env_label,t,frustration_label,N,mean_I3_minus,median_I3_minus,max_I3_minus,mean_J_rho_exp,median_J_rho_exp,max_J_rho_exp,mean_S_L,mean_P_pair,mean_N_pair_sum,mean_J_tot,std_J_tot,J_tot_analytic,corr_Jrho_I3,corr_SL_I3,corr_Ppair_I3,corr_Npair_I3,mean_edge_participation,mean_edge_imbalance,mean_top2_balance
1.0,1.0,1.0,1.7320508075688772,0.2,True,D_with_TF,0.1,non_frustrated,784,8.158681572200272e-06,0.0,3.617052734328292e-05,0.2740594414861139,0.2905785927410993,0.44898048097238175,7.697759635791449e-06,0.33003331675371195,0.20121751974943602,1.7320508075688772,1.7246968274916362e-16,1.7320508075688772,-0.5201173364288123,0.07215424490924029,-0.715199750710129,0.06490128138037825,1.749610867461622,0.6604810675391827,0.3557480047577573
1.0,1.0,1.0,1.7320508075688772,0.2,True,D_with_TF,0.3,frustrated,784,0.000548921982664411,0.0,0.0022139132408957275,0.2712383918894266,0.24525464316618192,0.5724521525701615,0.000596178293147163,1.5928991145206841,0.4431862829562588,1.7320508075688772,1.7246968274916362e-16,1.7320508075688772,-0.44826722045247797,-0.13813586530967922,-0.3347493765868086,-0.04802790179893832,1.749610867461622,0.6604810675391827,0.3557480047577573
1.0,1.0,1.0,1.7320508075688772,0.2,True,D_with_TF,0.3,non_frustrated,784,0.0007123170307678803,0.0001941592765272956,0.0023129960767060854,0.2685141393554558,0.24523850774707331,0.572188448062429,0.0005961670594420271,1.5286951662057713,0.4373202654765159,1.7320508075688772,1.7246968274916362e-16,1.7320508075688772,-0.5627258777751011,-0.134787972699403,-0.44125362886707625,0.05504541573707849,1.749610867461622,0.6604810675391827,0.3557480047577573
1.0,1.0,1.0,1.7320508075688772,0.2,True,D_with_TF,0.5,frustrated,784,0.0037414309695231536,0.0,0.014251740287627684,0.21050137250267692,0.18206013169081361,0.5344538876064369,0.0038855101186392226,2.2843653535146595,0.44055862674091895,1.7320508075688772,1.7246968274916362e-16,1.7320508075688772,-0.1592902290307607,-0.5194635666318649,0.0702106709247286,-0.2621088702033448,1.749610867461622,0.6604810675391827,0.3557480047577573
1.0,1.0,1.0,1.7320508075688772,0.2,True,D_with_TF,0.5,non_frustrated,784,0.005673838084882322,0.004374243595597233,0.014599468482841483,0.21822867149239697,0.1913071958574536,0.5371021085990355,0.003877941879635052,2.1116459681731343,0.4567803569520183,1.7320508075688772,1.7246968274916362e-16,1.7320508075688772,-0.2580592832920595,-0.4663927168470842,0.024440315236352747,0.026330126988239024,1.749610867461622,0.6604810675391827,0.3557480047577573
1.0,1.0,1.0,1.7320508075688772,0.2,True,D_with_TF,0.9,frustrated,784,0.019705330695860137,0.010557253582114137,0.06913187263706794,0.1403608289523719,0.13661545635108602,0.33758698238924617,0.02400198347539439,1.9590281042614237,0.47060152119878884,1.7320508075688772,1.7246968274916362e-16,1.7320508075688772,-0.0628553679394444,-0.2462561108651686,-0.17866008199564548,0.011134453947605361,1.749610867461622,0.6604810675391827,0.3557480047577573
1.0,1.0,1.0,1.7320508075688772,0.2,True,D_with_TF,0.9,non_frustrated,784,0.02696252213687002,0.025640680225769305,0.06773139853163684,0.13448137022159992,0.12043967961577609,0.33460459224153766,0.023142721731824172,1.7450515351428681,0.42429815927683706,1.7320508075688772,1.7246968274916362e-16,1.7320508075688772,0.07638890026888898,-0.24261167561492036,0.11491697441748025,-0.10909049051934949,1.749610867461622,0.6604810675391827,0.3557480047577573
1.0,1.0,1.0,1.7320508075688772,0.2,True,D_with_TF,1.3,frustrated,784,0.04411387454062913,0.04492237468885919,0.1254535234361327,0.21874941343687254,0.20465625957222144,0.4687870914332327,0.04886737620471764,1.7376976163413638,0.42969801378789096,1.7320508075688772,1.7246968274916362e-16,1.7320508075688772,-0.2748458615739772,-0.04992426155691043,-0.14693958390880651,-0.18709063462128497,1.749610867461622,0.6604810675391827,0.3557480047577573
1.0,1.0,1.0,1.7320508075688772,0.2,True,D_with_TF,1.3,non_frustrated,784,0.06258174001260357,0.06605414957057487,0.14009339468419216,0.18162046879430596,0.140368644530316,0.468238695716031,0.04436613482194848,1.6165964986341474,0.39614524449331723,1.7320508075688772,1.7246968274916362e-16,1.7320508075688772,-0.3046694894800504,0.15308967991745107,0.24862159514466575,0.17224321662943917,1.749610867461622,0.6604810675391827,0.3557480047577573
1.0,1.0,1.0,1.7320508075688772,0.2,True,D_with_TF,2.0,frustrated,784,0.08791090535751053,0.09249297363927877,0.16115490195496718,0.21361101572507396,0.20829029655892944,0.5155190589925512,0.04616096774337683,1.5749836607578618,0.41793905917193497,1.7320508075688772,1.7246968274916362e-16,1.7320508075688772,-0.1601261798216139,0.18393328593947395,0.497133224262979,0.5317095318356685,1.749610867461622,0.6604810675391827,0.3557480047577573
