t,h,hD,h_over_R,J_AB,J_BC,J_AC,J_CD,comm_max,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min,theta,phi,sign_label,sign_AB,sign_BC,sign_AC,J_tri_norm,J_tot_analytic
0.02,0.4330127018922193,0.4330127018922193,0.25,0.49591282106989915,0.0,1.6595392354200287,0.34641016151377546,2.121320343559642,0.3247595264191644,0.061324994689148433,0.1888320116897719,-5.557108636585133e-09,5.557108636585133e-09,9.946116728089656e-08,6.722375545109571e-09,0.01996269810328965,0.035492032768518714,0.018664645304831886,0.008041170948680754,0.17741033298920508,0.0,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.49426876553287535,0.032765022078142546,1.6597062513429373,0.34641016151377546,2.1209407535318676,0.3247595264191644,0.061140482319500755,0.18826386093625241,-5.267378777940349e-09,5.267378777940349e-09,9.946123855596425e-08,6.722380985202392e-09,0.01996409712260227,0.03577071375369951,0.01866189249557933,0.008036277112553357,0.17741033298920508,0.08267349088394192,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.4893448733491759,0.06532577355338529,1.6602030412683055,0.34641016151377546,2.1198110328433706,0.32475952641916445,0.060991069936518566,0.18780379011206555,-4.404333142722505e-09,4.404333142722505e-09,9.946130964172282e-08,6.722385315072188e-09,0.019968091834281165,0.03622264355275854,0.018653459381501012,0.008021486080208723,0.17741033298920508,0.16534698176788384,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.48116607781385645,0.09747823940882198,1.6610169169526798,0.34641016151377546,2.117958212350431,0.3247595264191644,0.060878002190820506,0.18745563174718324,-2.976265739806975e-09,2.976265739806975e-09,9.946137566083085e-08,6.722390866187311e-09,0.01997456988237073,0.036658356138977916,0.01863945344623878,0.007997113676203288,0.17741033298920508,0.24802047265182575,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.46977429247610697,0.12901897464988477,1.6621270162983528,0.34641016151377546,2.1154269442054567,0.3247595264191644,0.060802118697460536,0.18722197118548495,-9.976333952531006e-10,9.976333952531006e-10,9.946144187847578e-08,6.722394751967897e-09,0.019983349046704957,0.03704735386957178,0.018620064055551104,0.007963686973618815,0.17741033298920508,0.3306939635357677,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.45522891813964084,0.15974553375939823,1.663504732945878,0.34641016151377546,2.112278875211767,0.32475952641916445,0.06076383924991431,0.18710410105564362,1.509955664106614e-09,0.0,9.94615034032651e-08,6.722399525926903e-09,0.019994182711404605,0.03737989367891751,0.018595574577544273,0.007921942374040706,0.17741033298920508,0.4133674544197096,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.43760749323881115,0.18945706592814496,1.6651143210095642,0.34641016151377546,2.1085917172973168,0.32475952641916445,0.06076315313431844,0.18710198836751576,4.516461784699267e-09,0.0,9.94615637960699e-08,6.722403522729792e-09,0.02000676725274913,0.03765071818220731,0.018566377243588804,0.007872821794450228,0.17741033298920508,0.4960409453036515,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.41700643003438403,0.21795511860998398,1.6669136761037404,0.34641016151377546,2.104457970454045,0.3247595264191644,0.06079961362588488,0.18721425756549273,7.981729357796016e-09,0.0,9.94616203413245e-08,6.72240796362189e-09,0.02002075109978797,0.037856129767884966,0.018532988727647495,0.007817465879951267,0.17741033298920508,0.5787144361875934,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.3935417655945821,0.24504468091485293,1.668855291236492,0.34641016151377546,2.099983251488689,0.3247595264191644,0.06087233886052269,0.1874381932123995,1.1853715319885056e-08,0.0,9.946167171275617e-08,6.722411072246359e-09,0.02003574516079392,0.03799323796460663,0.018496063977256144,0.0077572029249724245,0.17741033298920508,0.6613879270715354,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.3673498457267827,0.27053548456531895,1.670887381733286,0.34641016151377546,2.0952841877383865,0.32475952641916445,0.06098002027358413,0.1877697659740941,1.606662489523306e-08,0.0,9.946172121342259e-08,6.722414847004643e-09,0.02005133425762608,0.03805973940683903,0.01845640550910147,0.007693532033108341,0.17741033298920508,0.7440614179554773,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
