t,h,hD,h_over_R,J_AB,J_BC,J_AC,J_CD,comm_max,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min,regime_label,description,sign,sign_label,lambda_h_over_Jbar,Jbar_RMS,R_internal_norm,theta,phi,J_tri_norm,include_D_transverse,env_label,J_tot_analytic
0.02,0.25,0.25,0.25,-0.16718800390577096,-0.2559002902907794,-1.704864573149169,0.2,1.2190258757200363,0.10825317547305481,0.02075603822524493,0.19173606810648522,4.599820514350853e-09,0.0,1.221445284874704e-08,7.456117945281449e-10,0.019866231363089987,0.035065453070262854,0.016425660757094906,0.0053404625172574815,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.992081890607303,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.14548489363083753,-0.2688325369930603,-1.704864573149169,0.2,1.220416761955772,0.10825317547305481,0.020783505790984747,0.19198980261006707,5.072796834310959e-09,0.0,1.2214449560103217e-08,7.456117945281449e-10,0.019876764819276756,0.03495055044917548,0.016466766407388776,0.0053794238579738625,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,1.074755381491245,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.122787974012664,-0.27992838487507227,-1.704864573149169,0.2,1.2216634383982081,0.10825317547305482,0.02081933301398861,0.1923207603195966,5.497296498437148e-09,0.0,1.2214449956894729e-08,7.456120165727498e-10,0.019886201802155397,0.03478883998608428,0.01650323270021262,0.0054141538487135115,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,1.1574288723751869,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.09925228802661631,-0.2891120380447394,-1.704864573149169,0.2,1.2227323875896723,0.10825317547305482,0.02086317758128786,0.1927257790833202,5.864479405474411e-09,0.0,1.2214447586956558e-08,7.456119055504473e-10,0.019894291907215117,0.034582868964281956,0.016534225414778857,0.005443794153941146,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,1.2401023632591288,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.07503860827285076,-0.29632076283881104,-1.704864573149169,0.2,1.2235949508044877,0.10825317547305481,0.020914620677071765,0.1932009900465008,6.1935370014934386e-09,0.0,1.2214444839765688e-08,7.456117945281449e-10,0.019900821627178662,0.03433725338301949,0.016559057614618258,0.005467624563536809,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,1.3227758541430708,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.05031233873643385,-0.3015053163573929,-1.704864573149169,0.2,1.2242280564851613,0.10825317547305482,0.02097317365735072,0.1937418793093153,6.4077501247942326e-09,0.0,1.2214445593002122e-08,7.456114614612375e-10,0.019905619304850578,0.03406222583638057,0.016577193241047228,0.00548507405526833,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,1.4054493450270127,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.025242384910406757,-0.304630282842885,-1.704864573149169,0.2,1.2246148010709395,0.10825317547305482,0.02103828568251572,0.19434335843341924,6.5462456634410125e-09,0.0,1.2214444327346123e-08,7.456114614612375e-10,0.019908559348691124,0.03378955678509596,0.016588248713996355,0.0054957289358157375,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,1.4881228359109546,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-1.8717153609392714e-17,-0.30567431560551706,-1.704864573149169,0.2,1.224744871391589,0.10825317547305482,0.02110935209774751,0.19499984185684988,6.59813844770134e-09,0.0,1.2214443398321606e-08,7.45611350438935e-10,0.019909564956159906,0.033644753966879215,0.01659199342508022,0.005499338401847892,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,1.5707963267948966,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.4366012853558804,-0.0,-1.676120317168667,0.2,1.224744871391589,0.10825317547305481,0.02042026015501579,0.18863428315872893,-5.568988062532344e-10,5.568988062532344e-10,1.2214485334960359e-08,7.456141259964966e-10,0.01983974741757843,0.034727923554400325,0.017911650910100343,0.007068989458012989,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25482066597841013,0.0,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.43511007061245044,-0.036054248377067596,-1.676120317168667,0.2,1.2244794998639146,0.10825317547305482,0.020317522942197862,0.18768523743910934,-5.005751031260388e-10,5.005751031260388e-10,1.2214480908426944e-08,7.456139039518916e-10,0.019841698380508917,0.03505492091036941,0.01791673214997535,0.007074572502883167,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.25482066597841013,0.08267349088394192,1.7320508075688772,True,D_with_TF,0.10825317547305482
