coupling_label,env_label,include_D_transverse,Jz,Jz_abs,J_CD,t,N,corr_J_rho_exp,corr_J_tot,corr_eta,corr_S_L,corr_P_pair,corr_N_pair_sum,max_I3_minus,mean_I3_minus,median_I3_minus,h_at_max_I3,max_J_tot,mean_J_tot,max_J_rho_exp,mean_J_rho_exp,mean_S_ABC,mean_S_L,mean_P_pair,mean_N_pair_sum
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.3833333333333333,9,0.008620187995899437,0.11207035034983248,-0.032943437887996085,0.6323768189107142,0.004145181611053023,-0.6176766003379683,0.011905249792580827,0.0059750985192942255,0.005583195421915994,0.75,81.0,17.134999999999998,5.244409483516971,0.7840756150707712,0.023385964687706574,0.004894903993861043,2.4687378963040327,0.39739797096107216
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.4111111111111111,9,0.0659303446394266,0.037439781443616774,0.22977900446208796,0.7264075267024543,-0.09295968201864736,-0.532230545724997,0.016256755088198543,0.008330488330484546,0.007891237279499641,0.75,81.0,17.134999999999998,2.346896266362109,0.5377472708294431,0.027386464018527137,0.005874906471330956,2.472956421512906,0.41602590699290026
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.4388888888888889,9,0.007184216869442583,-0.012986296519747004,0.1731263770856513,0.7819505456338586,-0.21004306596778766,-0.36948611204387416,0.021568205240641118,0.011114442099834858,0.012272405175862713,0.75,81.0,17.134999999999998,3.2336844938812184,0.6949851624423292,0.03173961904269575,0.006974743500123121,2.4597074695741767,0.4336267359249421
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.4666666666666667,9,-0.09581342164512402,-0.05378382063072882,-0.019828340196527284,0.8233291886300451,-0.3078277146993175,-0.06564251943626638,0.02787258888460544,0.014188739409343886,0.017151668053712044,0.75,81.0,17.134999999999998,4.861957041641937,0.8990498133067789,0.03633162009743098,0.008173106972574352,2.4336334310243726,0.4477484390094582
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.49444444444444446,9,-0.11261926519992792,-0.07766530971133798,-0.04458299412875913,0.8612099306196666,-0.3749691026664663,0.20828934384121042,0.03505432989803629,0.017426394335059634,0.019424671858929876,0.75,81.0,17.134999999999998,4.622767976512969,0.867155814207274,0.0410445875543359,0.009441983888056603,2.4002736361981936,0.4526413231111429
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.5222222222222223,9,-0.04422361264348576,-0.0865203965165606,0.23707233516677212,0.8957278848363052,-0.4088633619342672,0.39885025813439934,0.04270609943158432,0.020627614527662524,0.019431240753471996,0.75,81.0,17.134999999999998,2.6211889330551132,0.6286418242649625,0.04579354325604967,0.010757127257779565,2.3648694154654475,0.44760253436868247
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.55,9,0.06841238365666953,-0.09100588071710981,0.22214108357218285,0.9229568304641751,-0.406745761296041,0.4540005872136083,0.05004226009133034,0.023494480153166443,0.019283372980818274,0.75,81.0,17.134999999999998,1.608838562100394,0.4699180238212192,0.05054691320639545,0.012106841976969355,2.330889050235542,0.435276213874235
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.64,9,-0.1285896993644038,-0.0445674748943759,-0.4037085743490804,0.9676786167854766,-0.0930307180480322,-0.34630415791140307,0.06177735037674814,0.028629868578214073,0.0236656530689388,0.75,81.0,17.134999999999998,3.608840574787039,0.9275089527359677,0.066612565274363,0.016888202407811477,2.2234530016547245,0.42610635757739357
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.73,9,-0.0694325200293382,-0.13615071734721312,0.2260672414461229,0.8935957324373106,0.4702470794316946,0.13741845509740602,0.06024367725835944,0.02763905677328025,0.021465565337268608,0.75,81.0,17.134999999999998,6.913225250432465,1.141549365369877,0.08586600831127048,0.022949346188544162,2.0660734903197446,0.4722093163041111
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.8200000000000001,9,-0.4124704708282002,-0.3893572250348787,0.16383322976149653,0.8691661675306893,0.609350234630469,0.6532434212936755,0.07122922072862689,0.030050373739725324,0.02752300971441153,0.75,81.0,17.134999999999998,3.4379964487004315,0.9885149569741967,0.10656755830793238,0.02978554401199523,1.8510836183903565,0.48344509148359804
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.91,9,-0.32096843771402456,-0.37871206310896677,0.24814087990842268,0.9024307554418525,0.4108535905882429,0.4189382058676122,0.11432075727352348,0.04471504710545008,0.013238615812022667,0.5,81.0,17.134999999999998,6.716401427049623,1.22554012977973,0.12408603451770654,0.03587152872328444,1.5897968681844072,0.3746958986587833
anti_like_J_positive,D_with_TF,True,1.7320508075688772,1.7320508075688772,0.34641016151377546,1.0,9,-0.3080987606357374,-0.25601512451167224,0.03291628224378711,0.9553662363506561,0.3559620750534652,-0.10896626962107311,0.17820990743028442,0.06884728272753114,0.040606324404080366,0.5,81.0,17.134999999999998,3.1430154458100614,0.9552921852276369,0.1391745542212993,0.041381047750514544,1.4768890890484598,0.3880881825449285
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.02,9,,,,,,,1.932481952238163e-15,4.595730591255098e-16,0.0,0.5,81.0,17.134999999999998,7.702087480296339,1.5206485958645086,1.957649530109116e-16,-1.2335811384723961e-17,0.05601269403293663,0.0862351990518392
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.04,9,,,,,,,1.5265566588595902e-15,6.588084429268946e-16,5.886524510303552e-16,1.0,81.0,17.134999999999998,8.928155268476774,1.7065465112136111,5.339044173024856e-17,-3.700743415417188e-17,0.18261499329197056,0.16693862459702183
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.06,9,,,,,,,1.4444434628144629e-15,5.049953108850982e-16,3.631295446066946e-16,1.0,81.0,17.134999999999998,9.439199189947768,1.7935452200858586,-1.957649530109117e-16,-1.603655480014115e-16,0.3521710016172615,0.23966345080141746
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.08,9,,,,,,,1.778663901003769e-15,1.9762932233375214e-16,0.0,0.25,81.0,17.134999999999998,9.159285254300984,1.7729554064892141,1.7796813910082836e-17,-1.8503717077085943e-16,0.5454907447799374,0.3025235212235209
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.1,9,,,,,,,2.0284640815444294e-15,4.756977588463787e-16,1.4108493968166328e-16,0.75,81.0,17.134999999999998,8.133194839623151,1.6505493708858205,-1.7796813910082883e-16,-9.868649107779169e-17,0.7469034243887328,0.35427205000109024
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.14,9,,,,,,,1.208521070081617e-15,3.6390643584935686e-16,2.8391788465931673e-16,0.5,81.0,17.134999999999998,4.6095182610989545,1.1930724700992905,1.2457769737058014e-16,-8.635067969306773e-17,1.1273556601274477,0.42277443995405245
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.18,9,,,,,,,1.172096304359442e-15,3.7155026524322815e-16,2.093203479189761e-16,0.1,81.0,17.134999999999998,2.504222575764118,0.7881957142898148,-5.33904417302487e-17,-8.635067969306773e-17,1.4323971155951993,0.4475560956289894
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.21999999999999997,9,,,,,,,1.0974987676191014e-15,5.520896768339005e-16,7.517076032254994e-16,2.0,81.0,17.134999999999998,2.994431432668693,0.7674797438572459,-8.898406955041449e-17,-2.4671622769447922e-17,1.6478521976257532,0.4376316531589447
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.26,9,,,,,,,8.7545416269407e-16,2.410610023584547e-16,0.0,1.5,81.0,17.134999999999998,2.3897218886392095,0.583553709810726,1.7796813910082827e-17,-4.9343245538895844e-17,1.7934705018729165,0.4125893951759121
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.3,9,,,,,,,1.2940948585320226e-15,2.431817118594639e-16,0.0,1.0,81.0,17.134999999999998,1.0395061949461135,0.39861005796205984,7.118725564033142e-17,1.2335811384723962e-16,1.893640466837312,0.39694235608163503
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.3277777777777778,9,,,,,,,1.2940948585320226e-15,2.9567102761204393e-16,2.093203479189761e-16,1.5,81.0,17.134999999999998,3.295893167047838,0.6572977275348886,-2.4915539474116037e-16,-7.401486830834377e-17,1.93957210236515,0.38846244118774387
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.35555555555555557,9,,,,,,,1.6144375089135146e-15,2.2731138463972465e-16,0.0,0.75,81.0,17.134999999999998,5.4259688626308975,0.8958392640026739,-2.491553947411603e-16,-2.220446049250313e-16,1.9666414394184375,0.3808590358937666
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.3833333333333333,9,,,,,,,1.1830725560695069e-15,3.718066054213969e-16,3.2034265038149176e-16,0.75,81.0,17.134999999999998,6.634227120923938,1.017636993322295,-1.0678088346049735e-16,-7.401486830834377e-17,1.9782307434167872,0.373853534027054
ferro_like_J_negative,D_no_TF,False,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.4111111111111111,9,,,,,,,1.2940948585320226e-15,3.0010666942472794e-16,8.557378845040546e-17,1.0,81.0,17.134999999999998,6.605512420629169,0.9902298246653076,1.423745112806629e-16,9.868649107779169e-17,1.9803523657602813,0.37040128202509753
