h_over_R,h,t,N,sign_label,corr_J_rho_exp,corr_eta,corr_S_L,corr_P_pair,corr_N_pair_sum,corr_J_tot,std_J_tot,mean_J_tot,J_tot_analytic,max_I3_minus,mean_I3_minus,median_I3_minus,max_J_rho_exp,mean_J_rho_exp,mean_S_ABC,mean_S_L,mean_P_pair,mean_N_pair_sum
0.5,0.8660254037844386,0.08,400,anti_like_all_positive,-0.5472460930035464,-0.5472460930035468,0.27221897146788604,-0.7408135259983525,-0.15579689938709593,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,3.137088425517026e-05,1.1001517512842455e-05,5.5656791549024e-06,0.2955304035325332,0.14643715022368792,6.889251529939884e-05,7.045047390815684e-06,0.2265413625802384,0.16160539921597816
0.5,0.8660254037844386,0.1,400,anti_like_all_positive,-0.5583019355305477,-0.5583019355305476,0.2912512900859728,-0.7342791696951007,-0.14579659816125987,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,7.237934888861688e-05,2.5638781735168908e-05,1.3373181365932318e-05,0.30216395780578775,0.1516801102864703,0.00015769018107495903,1.7267475001340736e-05,0.32649291094418176,0.19834077152706517
0.5,0.8660254037844386,0.14,400,anti_like_all_positive,-0.5741060710185074,-0.5741060710185077,0.3291554388072213,-0.6878136257331102,-0.1281553188279618,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,0.00025458265928745443,9.196136081832666e-05,5.073877032183913e-05,0.3106419162202649,0.16148707169561372,0.0005434909661346569,6.661686438112851e-05,0.555737005940139,0.2661906919024813
0.5,0.8660254037844386,0.18,400,anti_like_all_positive,-0.5892822757578116,-0.5892822757578114,0.36548108019662046,-0.6117397167405845,-0.11277729655569381,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,0.00065481490659359,0.00023973440529396865,0.00014199966939215495,0.3129468894669722,0.17118853752806296,0.0013525151473284872,0.000181934670981862,0.8089895439816075,0.32544052154245423
0.5,0.8660254037844386,0.21999999999999997,400,anti_like_all_positive,-0.6081255788675725,-0.608125578867572,0.39683928259351225,-0.5230048417875416,-0.10013492941395774,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,0.0013917260089937795,0.0005178140503767742,0.00032463751311880983,0.3105574703559055,0.1810484355292674,0.002770053853797824,0.00040382736840918006,1.0707669371911086,0.3748893936259061
0.5,0.8660254037844386,0.26,400,anti_like_all_positive,-0.6308173168543098,-0.6308173168543098,0.4130640541756936,-0.4311525254208621,-0.09248114132871949,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,0.0026269808481848705,0.0009875718679332082,0.0006651221360638141,0.30472562893036914,0.18941507543355143,0.00498016410153939,0.0007799023728857332,1.3281418645539165,0.4135548291773297
0.5,0.8660254037844386,0.3,400,anti_like_all_positive,-0.6589646033976605,-0.65896460339766,0.3477894584829288,-0.3398402032489522,-0.09524363054661138,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,0.004529221480000921,0.0017222998680224253,0.001228417495967202,0.29486851669848235,0.19489822745332488,0.008153083622762564,0.0013623606630755844,1.570597445862366,0.4407665238552486
0.5,0.8660254037844386,0.3277777777777778,400,anti_like_all_positive,-0.6828090428328837,-0.6828090428328835,-0.2529145861775413,-0.27729818727281175,-0.11005390970762609,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,0.006340217109111857,0.002431631788361293,0.001797116774597111,0.28652760469902033,0.19676243889032682,0.011001621420177616,0.0019168839721062142,1.7257894419470785,0.45277262164717685
0.5,0.8660254037844386,0.35555555555555557,400,anti_like_all_positive,-0.7090910374595228,-0.7090910374595226,-0.608602522614183,-0.21532381841170223,-0.14706394856234187,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,0.00865058235338971,0.00333760739704235,0.0025178956870090096,0.27658682059264256,0.19693449999898477,0.014426522873494028,0.0026151067796691342,1.8677315533893224,0.4591885504612508
0.5,0.8660254037844386,0.3833333333333333,400,anti_like_all_positive,-0.7323999503095994,-0.7323999503095995,-0.6144842042021218,-0.15414287460244464,-0.2268641317930559,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,0.011478798760191294,0.004467878760000518,0.003408323153104194,0.2652293057466585,0.19537096303811233,0.01846073282369465,0.003474506666740508,1.9948635830637196,0.46022735187064356
0.5,0.8660254037844386,0.4111111111111111,400,anti_like_all_positive,-0.7396422225412688,-0.7396422225412688,-0.6191354689510058,-0.09414866934079331,-0.32049688141687616,,3.3693028157463266e-16,1.299038105676658,1.2990381056766578,0.014846023842349954,0.005846344861252994,0.0044825161663135694,0.25274826836814385,0.19206256528097254,0.023129143700495732,0.004511639440650538,2.106112790272227,0.45628611920856516
