t,h,hD,h_over_R,J_AB,J_BC,J_AC,J_CD,comm_max,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min,h_over_Jz,Jz,Jz_abs,include_D_transverse,env_label,coupling_label
0.06,3.4641016151377544,0.0,2.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,23.999999999999996,35.999999999999986,5.35254120199437,0.14868170005539924,1.7572704538911676e-15,0.0,4.805139755722376e-16,2.220446049250313e-16,0.3734310662861816,0.24757924843960563,0.1293795790893911,0.1261315212200143,2.0,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.06,5.196152422706632,0.0,3.0000000000000004,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,36.0,81.0,12.88219389168154,0.15903943076150048,5.551115123125783e-16,0.0,-0.0,0.0,0.37221226881716907,0.24675773031078246,0.12908613278930162,0.12428016656599046,3.0,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.08,0.0,0.0,0.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,1.6017132519074588e-16,0.0,1.6017132519074588e-16,0.0,0.5341276748914983,0.29894633597728293,0.16140734689729616,0.15625802819318235,0.0,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.08,0.17320508075688773,0.0,0.1,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,1.2,0.08999999999999998,0.009415442642280137,0.1046160293586682,9.928385936596133e-16,0.0,1.6017132519074588e-16,-4.440892098500626e-16,0.5394664410434391,0.300661422442864,0.16242069344686852,0.15768985136095973,0.1,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.08,0.4330127018922193,0.0,0.25,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,2.9999999999999996,0.5624999999999998,0.062518444062346,0.11114390055528181,1.3877787807814457e-16,0.0,-0.0,2.220446049250313e-16,0.5470006523434633,0.3030540146413568,0.16384355706330264,0.15973829141975215,0.25,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.08,0.8660254037844386,0.0,0.5,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,5.999999999999999,2.249999999999999,0.2733609243806727,0.12149374416918793,-1.0847745106130463e-15,1.0847745106130463e-15,-6.406853007629837e-16,-2.220446049250313e-16,0.5582418672708204,0.3065551858957011,0.1659504504057844,0.1628779084256012,0.5,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.08,1.299038105676658,0.0,0.7500000000000001,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,9.0,5.0625,0.663303647746023,0.13102294276464652,-3.2034265038149176e-16,3.2034265038149176e-16,-3.2034265038149176e-16,-2.220446049250313e-16,0.5677616059723056,0.3094401131667588,0.1677187424369185,0.1656598707735438,0.75,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.08,1.7320508075688772,0.0,1.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,11.999999999999998,8.999999999999996,1.2560620385754218,0.13956244873060247,1.0205941692752423e-15,0.0,1.6017132519074588e-16,1.1102230246251565e-16,0.5754829155383456,0.31170249251298293,0.16914069635536452,0.16643406293079968,1.0,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.08,2.598076211353316,0.0,1.5000000000000002,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,18.0,20.25,3.1000427074509522,0.15308852876301,1.2339695840937273e-15,0.0,-3.2034265038149176e-16,0.0,0.5852927460380445,0.3143511277293434,0.17092289297830948,0.16645329450963456,1.5,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
0.08,3.4641016151377544,0.0,2.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,23.999999999999996,35.999999999999986,5.800532185615764,0.1611258940448824,-2.6483149915023394e-16,2.6483149915023394e-16,-3.2034265038149176e-16,-8.881784197001252e-16,0.5873491390770149,0.3145153608869854,0.17126899505928897,0.16531690818493608,2.0,1.7320508075688772,1.7320508075688772,False,D_no_TF,anti_like_J_positive
